Bar,lat,lon,state,state_distric,place,postcode,contact,cervezas
Jose Mari,36.3380157,-6.0927722,Andalucía,-,Conil de la Frontera,11149,-,-
El Andaluz,36.3356479,-6.0917636,Andalucía,-,Conil de la Frontera,11149,-,-
Avenida,36.3352293,-6.0915994,Andalucía,-,Conil de la Frontera,11149,-,-
Melchor,36.3342409,-6.0911681,Andalucía,-,Conil de la Frontera,11149,-,-
Anca Massa,36.2751246,-6.0898506,Andalucía,-,Conil de la Frontera,11140,-,"{"Aguila": 1.60, "Cruzcampo": 2.50, "Alcázar": 2.50, "Heineken": 2.50}"
Malabata,36.2741530,-6.0895759,Andalucía,-,Conil de la Frontera,11140,-,"{"Mahou": 3.00,"Alhambra": 3.00,"Maestra": 3.00,"Cruzcampo": 2.60, "Águila": 3.00}"
Taj Majal,36.2747164,-6.0832971,Andalucía,-,Conil de la Frontera,11140,-,-
La Recoleta,36.2762049,-6.0867786,Andalucía,-,Conil de la Frontera,11140,-,-
La Posada,36.2756481,-6.0874894,Andalucía,-,Conil de la Frontera,11140,-,-
El tascón de la prensa,36.2749612,-6.0887228,Andalucía,-,Conil de la Frontera,11140,-,-
Makaipa,36.2858850,-6.0793931,Andalucía,-,Conil de la Frontera,11140,https://www.makaipa.com|,"{"Mahou": 2.00,"Cruzcampo": 2.50,"Alhambra 1925": 3.00,"Paulaner": 3.50, "Krombacher": 2.00}"
Pizzeria La Toscana,36.2859445,-6.0802530,Andalucía,-,Conil de la Frontera,11140,-,-
